Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Train Time (s),Accuracy Rank,Precision Rank,Recall Rank,F1 Score Rank,ROC AUC Rank,Overall Rank
LightGBM,0.984,0.9526,0.9526,0.9526,0.9988,0.462,1,4,1,1,1,1
XGBoost,0.9822,0.957,0.9368,0.9468,0.9967,0.668,2,3,3,2,3,2
Extra Trees,0.9734,0.9819,0.8579,0.9157,0.9978,1.504,3,1,5,3,2,3
Random Forest,0.9636,0.9745,0.8053,0.8818,0.9958,3.113,4,2,8,4,4,4
CatBoost,0.9512,0.7974,0.9526,0.8681,0.9905,0.933,5,7,1,5,5,5
Decision Tree,0.9503,0.8722,0.8263,0.8486,0.9009,0.106,6,5,6,6,10,6
Gradient Boosting,0.9281,0.8609,0.6842,0.7625,0.9567,4.636,7,6,9,7,6,7
Support Vector Machine,0.8748,0.5842,0.8947,0.7069,0.9414,4.145,10,10,4,8,7,8
AdaBoost,0.889,0.7519,0.5105,0.6082,0.9084,0.935,8,8,11,9,8,9
K-Nearest Neighbors,0.881,0.75,0.4421,0.5563,0.9035,0.003,9,9,12,10,9,10
Logistic Regression,0.778,0.4185,0.8105,0.552,0.8699,0.074,12,12,7,11,11,11
Naive Bayes,0.8046,0.4464,0.6579,0.5319,0.7939,0.006,11,11,10,12,12,12
